candidate_id,name.x,party,state,district,cycles,name.y,committee_id
H8AL01066,"KENNEDY, ROBERT JR.",DEM,AL,1,"{2018,2020}","COMMITTEE TO ELECT ROBERT KENNEDY, JR. FOR U.S. CONGRESS",C00667949
H8AL01074,"ARRAS, JENNIFER O'FARRILL MRS.",DEM,AL,1,"{2018,2020}",FRIENDS OF JENNY ARRAS,C00668996
H8AL01082,"MCCONNELL, LIZZETTA HILL",DEM,AL,1,{2018},COMMITTEE TO ELECT LIZZETTA MCCONNELL FOR CONGRESS,C00678037
H8AL02163,"WILLIAMS, AUDRI SCOTT 1955",DEM,AL,2,"{2018,2020}",COMMITTEE TO ELECT AUDRI SCOTT WILLIAMS,C00650390
H8AL02171,"MOORE, FELIX BARRY",REP,AL,2,"{2018,2020}",BARRY MOORE FOR CONGRESS,C00639096
H8AL02189,"AMASON, THOMAS MARRION III",REP,AL,2,"{2018,2020}",TOMMY AMASON FOR CONGRESS,C00651661
H8AL02197,"ISNER, TABITHA KAY",DEM,AL,2,"{2018,2020}",FRIENDS OF TABITHA ISNER,C00657437
H8AL02205,"HOBSON, RICH",REP,AL,2,{2018},RICH HOBSON FOR CONGRESS,C00664482
H8AL02213,"BRIGHT, BOBBY NEAL SR.",REP,AL,2,{2018},BOBBY BRIGHT FOR CONGRESS,C00669580
H8AL03054,"HAGAN, MALLORY",DEM,AL,3,"{2018,2020}",MALLORY HAGAN FOR CONGRESS,C00668574
H8AL03062,"WINFREY, ADIA MCCLELLAN DR",DEM,AL,3,"{2018,2020}",COMMITTEE TO ELECT DR. ADIA WINFREY,C00669010
H8AL04060,"NORRIS, PHILLIP",REP,AL,4,{2018},PHIL NORRIS FOR CONGRESS,C00636241
H8AL04078,"MOSES, MIKE",REP,AL,4,"{2018,2020}",COMMITTEE TO ELECT MIKE MOSES,C00647909
H8AL04086,"NEIGHBORS, RICKY ALLEN",DEM,AL,4,{2018},RICK NEIGHBORS FOR CONGRESS,C00648329
H8AL04094,"AUMAN, JAMES LEE",DEM,AL,4,{2018},LEE AUMAN FOR UNITED STATES CONGRESS,C00665182
H8AL04102,"BLACKMON, ANTHONY MR",REP,AL,4,"{2018,2020}",ANTHONY BLACKMON FOR CONGRESS,C00667352
H8AL05174,"CAIN, BRETT BUTLER",DEM,AL,5,{2018},BUTLER CAIN FOR CONGRESS,C00640011
H8AL05182,"SWEENEY, TERRENCE MICHAEL",REP,AL,5,{2018},MICHAEL SWEENEY FOR CONGRESS COMMITTEE,C00651927
H8AL05190,"JOFFRION, PETER S.",DEM,AL,5,"{2018,2020}",PETER JOFFRION FOR CONGRESS,C00647677
H8AL05208,"HINCHMAN, ROBERT CLAYTON MR",GOP,AL,5,"{2018,2020}",HINCHMAN FOR CONGRESS,C00648162
H8AL05216,"HOLTZCLAW, WILLIAM LOVETTE",REP,AL,5,{2018},HOLTZCLAWFORCONGRESS.COM,C00653691
