district_raw,state,district_num,region,dem,dem_per,gop,gop_edit,hold_flip
Tennessee District 3,Tennessee,3,south,Mitchell,34.5,Fleischmann,63.7,GOP Hold
Tennessee District 4,Tennessee,4,south,Phillips,33.6,DesJarlais,63.4,GOP Hold
Tennessee District 5,Tennessee,5,south,Cooper,67.8,Ball,32.2,Dem Hold
Tennessee District 6,Tennessee,6,south,Barlow,28.3,Rose,69.5,GOP Hold
Tennessee District 7,Tennessee,7,south,Kanew,32.1,Green,66.9,GOP Hold
Tennessee District 8,Tennessee,8,south,Pearson,30.1,Kustoff,67.7,GOP Hold
Tennessee District 9,Tennessee,9,south,Cohen,80,Bergmann,19.2,Dem Hold
Texas District 1,Texas,1,south,McKellar,26.3,Gohmert,72.3,GOP Hold
Texas District 2,Texas,2,south,Litton,45.6,Crenshaw,52.8,GOP Hold
Texas District 3,Texas,3,south,Burch,44.3,Taylor,54.3,GOP Hold
Texas District 4,Texas,4,south,Krantz,23,Ratcliffe,75.7,GOP Hold
Texas District 5,Texas,5,south,Wood,37.6,Gooden,62.4,GOP Hold
Texas District 6,Texas,6,south,Sanchez,45.4,Wright,53.1,GOP Hold
Texas District 7,Texas,7,south,Fletcher,52.5,Culberson,47.5,Dem Pickup
Texas District 8,Texas,8,south,David,24.9,Brady,73.4,GOP Hold
Texas District 9,Texas,9,south,Green,89.1,NA,NA,Dem Hold
Texas District 10,Texas,10,south,Siegel,46.8,McCaul,51.1,GOP Hold
Texas District 11,Texas,11,south,Leeder,18.4,Conaway,80.1,GOP Hold
Texas District 12,Texas,12,south,Adia,33.9,Granger,64.3,GOP Hold
Texas District 13,Texas,13,south,Sagan,16.9,Thornberry,81.5,GOP Hold
Texas District 14,Texas,14,south,Bell,39.3,Weber,59.2,GOP Hold
Texas District 15,Texas,15,south,Gonzalez,59.7,Westley,38.8,Dem Hold
Texas District 16,Texas,16,south,Escobar,68.5,Seeberger,27,Dem Hold
Texas District 17,Texas,17,south,Kennedy,41.3,Flores,56.8,GOP Hold
Texas District 18,Texas,18,south,Jackson,NA,Pate,20.8,Dem Hold
Texas District 19,Texas,19,south,Levario,24.8,Arrington,75.2,GOP Hold
Texas District 20,Texas,20,south,Castro,80.9,NA,NA,Dem Hold
Texas District 21,Texas,21,south,Kopser,47.6,Roy,50.2,GOP Hold
Texas District 22,Texas,22,south,Kulkarni,46.5,Olson,51.4,GOP Hold
Texas District 23,Texas,23,south,Ortiz,NA,Hurd,49.2,GOP Hold
Texas District 24,Texas,24,south,McDowell,47.5,Marchant,50.6,GOP Hold
Texas District 25,Texas,25,south,Oliver,44.8,Williams,53.5,GOP Hold
Texas District 26,Texas,26,south,Fagan,39,Burgess,59.4,GOP Hold
Texas District 27,Texas,27,south,Holguin,36.6,Cloud,60.3,GOP Hold
Texas District 28,Texas,28,south,Cuellar,84.4,NA,NA,Dem Hold
Texas District 29,Texas,29,south,Garcia,75.1,Aronoff,23.9,Dem Hold
Texas District 30,Texas,30,south,Johnson,91.1,NA,NA,Dem Hold
Texas District 31,Texas,31,south,Hegar,47.7,Carter,50.6,GOP Hold
Texas District 32,Texas,32,south,Allred,52.3,Sessions,45.8,Dem Pickup
Texas District 33,Texas,33,south,Veasey,76.2,Billups,21.9,Dem Hold
Texas District 34,Texas,34,south,Vela,60,Gonzalez,40,Dem Hold
Texas District 35,Texas,35,south,Doggett,71.3,Smalling,26,Dem Hold
Texas District 36,Texas,36,south,Steele,27.4,Babin,72.6,GOP Hold
Utah District 1,Utah,1,west,Castillo,24.9,Bishop,61.6,GOP Hold
Utah District 2,Utah,2,west,Ghorbani,38.9,Stewart,56.1,GOP Hold
Utah District 3,Utah,3,west,Singer,27.3,Curtis,67.5,GOP Hold
Utah District 4,Utah,4,west,McAdams,50.1,Love,49.9,Dem Pickup
Vermont District 1,Vermont,1,northeast,Welch,69.2,Tynio,26,Dem Hold
Virginia District 1,Virginia,1,south,Williams,44.8,Wittman,55.2,GOP Hold
Virginia District 2,Virginia,2,south,Luria,51.1,Taylor,48.9,Dem Pickup
Virginia District 3,Virginia,3,south,Scott,0,NA,NA,Dem Hold
Virginia District 4,Virginia,4,south,McEachin,62.6,McAdams,36,Dem Hold
Virginia District 5,Virginia,5,south,Cockburn,46.7,Riggleman,53.3,GOP Hold
Virginia District 6,Virginia,6,south,Lewis,40.2,Cline,59.8,GOP Hold
Virginia District 7,Virginia,7,south,Spanberger,50.4,Brat,48.4,Dem Pickup
Virginia District 8,Virginia,8,south,Beyer,76.3,Oh,23.7,Dem Hold
Virginia District 9,Virginia,9,south,Flaccavento,34.8,Griffith,65.2,GOP Hold
Virginia District 10,Virginia,10,south,Wexton,56.2,Comstock,43.8,Dem Pickup
Virginia District 11,Virginia,11,south,Connolly,71.2,Dove,27,Dem Hold
Washington District 1,Washington,1,west,DelBene,59.3,Beeler,40.7,Dem Hold
Washington District 2,Washington,2,west,Larsen,71.3,NA,NA,Dem Hold
Washington District 3,Washington,3,west,Long,47.3,Herrera Beutler,52.7,GOP Hold
Washington District 4,Washington,4,west,Brown,37.2,Newhouse,62.8,GOP Hold
Washington District 5,Washington,5,west,Brown,45.2,McMorris Rodgers,54.8,GOP Hold
Washington District 6,Washington,6,west,Kilmer,63.9,Dightman,36.1,Dem Hold
Washington District 7,Washington,7,west,Jayapal,83.6,Keller,16.4,Dem Hold
Washington District 8,Washington,8,west,Schrier,52.4,Rossi,47.6,Dem Pickup
Washington District 9,Washington,9,west,Smith,67.9,NA,NA,Dem Hold
Washington District 10,Washington,10,west,Heck,61.5,Brumbles,38.5,Dem Hold
West Virginia District 1,West Virginia,1,south,Fershee,35.4,McKinley,64.6,GOP Hold
West Virginia District 2,West Virginia,2,south,Sergent,42.9,Mooney,54,GOP Hold
West Virginia District 3,West Virginia,3,south,Ojeda,43.6,Miller,56.4,GOP Hold
Wisconsin District 1,Wisconsin,1,midwest,Bryce,42.3,Steil,54.6,GOP Hold
Wisconsin District 2,Wisconsin,2,midwest,Pocan,0,NA,NA,Dem Hold
Wisconsin District 3,Wisconsin,3,midwest,Kind,59.7,Toft,40.3,Dem Hold
Wisconsin District 4,Wisconsin,4,midwest,Moore,75.7,Rogers,21.7,Dem Hold
Wisconsin District 5,Wisconsin,5,midwest,Palzewicz,38,Sensenbrenner,62,GOP Hold
Wisconsin District 6,Wisconsin,6,midwest,Kohl,44.5,Grothman,55.5,GOP Hold
Wisconsin District 7,Wisconsin,7,midwest,Engebretson,38.5,Duffy,60.1,GOP Hold
Wisconsin District 8,Wisconsin,8,midwest,Liegeois,36.3,Gallagher,63.7,GOP Hold
Wyoming District 1,Wyoming,1,west,Hunter,29.8,Cheney,63.7,GOP Hold
